'NitricOxide','NitrogenDioxide','OxidesofNitrogen','Ozone','WindSpeed','ResultantWindSpeed','ResultantWindDirection','MaximumWindGust','Std.Dev.WindDirection','OutdoorTemperature','DewPointTemperature','RelativeHumidity','SolarRadiation','PM2.5'
19.6,35.8,55.5,2,1.9,1.5,215,3.6,39,67.7,23.3,18.6,0,37.1
2.5,2.8,4.4,37,23.3,22.6,276,38.5,14,86.4,32.3,14.5,1.11,40.9
2.3,3.1,4.5,41,23.7,23.2,281,40.4,12,87.2,30.2,12.9,0.841,36.7
1.9,3,4.1,42,25,24.7,282,41.9,10,86.7,29,12.5,0.509,36.4
0.4,7.1,8.1,50,25.1,24.7,283,42.3,9,59.6,13.2,16.1,0.45,65.9
1.4,5.9,7.3,52,28.8,28.4,283,48.4,10,61,10.1,13.3,0.752,101.6
2,5.5,7.1,52,31,30.4,288,50.8,11,61.7,4.8,10.3,0.977,162.1
1.1,3.8,4.6,55,31.4,30.7,292,54.1,12,61.5,1.2,8.8,1.188,133.6
2,4.8,6.3,54,30.8,30.3,281,47.7,11,61.6,-1.3,7.7,1.305,125.3
1.9,5.4,6.9,54,29.2,28.5,284,48.3,12,61.1,-3.7,7.2,1.359,78
1.7,5.1,6.5,55,26.3,25.7,286,43.5,13,61.2,-3.5,7,1.29,42.9
2,6.1,7.8,53,25.3,24.7,289,44.1,13,61.5,-1.3,7.7,1.114,40.4
1.9,5.9,7.4,53,22.8,22,287,40.1,15,62.1,-1.1,7.7,0.535,59
2.1,6.7,7.9,58,19.7,19.3,290,34.3,12,62,-1,7.6,0.208,57.1
0.3,2.8,3,53,18,17.5,298,30,14,67.9,17.4,14.3,1.352,52.4
1.8,5.3,6.9,53,20.6,20,281,35.6,13,72.5,13.7,10.6,1.456,45.6
2.2,6,8,55,23,22.5,280,37.1,12,73.7,15.5,10.7,1.445,41.5
4.2,3.3,5.4,60,10.2,9.8,308,23.8,17,65.5,15.1,14.2,0,33.7
2.2,8.3,10.5,51,20.7,19.4,260,43,20,81.9,15.3,8.2,0.971,41.9
1.8,7.6,9.4,46,20.9,20.5,276,34.2,11,80.3,19.7,10.3,0.708,53.7
2.4,8.6,11,41,21.8,21.4,274,35.9,11,79.3,22.9,12.3,0.469,83
1.7,6.6,8.2,41,23.3,22.8,269,39.7,11,77.4,23.8,13.6,0.21,80.8
1.4,5.1,6.2,41,24.9,24.5,272,44.4,10,74.6,25.4,15.9,0.031,99.8
1,4.2,4.9,43,23.8,23.5,276,41.5,9,71.7,27.9,19.5,0,44.2
0.2,15.9,16.2,63,10.4,10.2,270,18.1,10,84.8,12,6.4,0,50.8
0,14,14,59,10.1,9.7,282,17.1,16,82.9,13,7.2,0,57.1
0,15.1,15.1,52,9.8,9.6,284,15.1,12,79.8,12.2,7.6,0,44.8
1.3,30.4,31.7,24,8.2,8.2,276,13.6,8,77,11.7,8.2,0,40.4
0.3,13.1,13.2,25,5.6,5.2,263,11.5,20,79.3,17.2,9.6,0,37.8
0.8,23.1,23.9,13,3.1,0.4,190,8.4,75,76.8,20.4,12.1,0,40.1
16.4,32.2,48.4,2,3.6,3.3,127,6.5,22,72.8,23.7,15.7,0,46.9
33.6,32.6,66,1,3.6,0.8,128,7.5,72,71.3,22.3,16.1,0,38.5
33.8,30,63.5,4,4.8,3.9,130,8.5,35,70.9,22.3,15.9,0.073,46.3
18.1,39.4,57.4,4,0.5,0.3,150,1.1,52,91.4,32.5,12.4,0,58
1.1,8.7,9.6,37,18.8,18.4,285,38.2,12,94,37,13.8,0.069,63.6
0.7,3.1,3.4,39,14.1,13.6,277,25,14,89.9,35.8,14.8,0,80.7
0.4,3.8,3.9,40,16.9,16.7,285,32.1,9,88.9,37.4,16.3,0,39.5
0.3,1.7,1.7,43,24,23.7,281,48.8,10,87.8,38.5,17.6,0,54.2
-2.6,-2,-2.9,33,13.7,13.2,66,24.8,15,43.1,14.1,30.6,0.295,37.8
-3,-1.7,-3,35,15.2,14.8,66,31,13,41.8,13.2,30.9,0.218,41.9
-1.2,0,-0.2,35,14.8,14.4,65,27.5,13,39.7,13.4,33.9,0.09,43.4
99,46.8,145.1,4,0.3,0.3,208,1.8,23,41.4,12.1,29.7,0,45.4
136.7,45.6,181.3,4,0.3,0.3,190,1.4,30,40.4,14.2,33.8,0,43.3
124.8,43.6,167.5,4,0.8,0.8,113,5,16,37.7,14.8,38.7,0,36.7
263.6,46,308,3,0.5,0.4,236,3.8,37,47.5,29.8,50.6,0,58.5
317.1,49.2,364,4,1.3,1.2,107,3.8,10,43.8,24.6,46.7,0,78.6
72,66.8,138.2,2,0.3,0.3,154,1,19,59.8,14.6,16.8,0,46.6
194.9,63.9,257.1,3,0.4,0.4,148,2.4,13,57.3,16,19.4,0,46.2
145.8,57.4,201.9,3,0.3,0.1,87,0.3,71,53.8,20.2,26.6,0,58.1
153.6,55.9,208.2,3,0.6,0.6,128,3.3,14,51.6,18.3,26.7,0,53.5
218.8,53.5,270.4,3,0.9,0.9,118,4.4,17,48.4,19,30.9,0,58.3
86,42.2,127.4,3,2.6,2.5,122,6.2,15,46.2,16.5,30.1,0,35.9
7.3,17.8,20.6,16,3.6,3.4,20,6.2,17,47.4,32.9,57.1,0.442,37.3
79.7,43.8,117,1,1.6,0.8,52,3.8,56,56.7,37.4,48.6,0,37.9
84.8,42.5,120.8,2,1.7,1.4,44,3.8,37,55.7,37,49.3,0,45.7
169.7,46.6,209.3,1,1.8,1.4,215,5.7,38,54,38.4,55.4,0,47.3
209.5,43.8,246.2,3,2.8,2.7,97,4.6,11,50.7,37.7,60.9,0,56.3
148.2,39.6,181.1,2,1.6,1.4,171,3.6,29,49.2,37.2,62.9,0,48.9
146.2,42.2,188.5,3,2.5,2.1,255,5,32,56.6,24.8,29.1,0,41.6
174.3,42.7,216.9,2,1.9,1.7,270,4.2,24,54.8,25,31.4,0,40.3
165.3,44.5,209.7,2,3.1,2.9,253,4.5,20,53.7,25.4,33.3,0,58.1
268.4,42.5,310,4,3.2,3.2,212,5.3,11,50.4,26.9,39.9,0,73.1
